Date,Light1
8/22/2021 0:01,0
8/22/2021 0:02,0
8/22/2021 0:03,0
8/22/2021 0:04,0
8/22/2021 0:05,0
8/22/2021 0:06,0
8/22/2021 0:07,0
8/22/2021 0:08,0
8/22/2021 0:09,1
8/22/2021 0:10,0
8/22/2021 0:11,0
8/22/2021 0:12,0
8/22/2021 0:13,0
8/22/2021 0:14,0
8/22/2021 0:15,0
8/22/2021 0:16,0
8/22/2021 0:17,1
8/22/2021 0:18,0
8/22/2021 0:19,0
8/22/2021 0:20,0
8/22/2021 0:21,0
8/22/2021 0:22,0
8/22/2021 0:23,0
8/22/2021 0:24,0
8/22/2021 0:25,0
8/22/2021 0:26,0
8/22/2021 0:27,0
8/22/2021 0:28,0
8/22/2021 0:29,0
8/22/2021 0:30,0
8/22/2021 0:31,0
8/22/2021 0:32,0
8/22/2021 0:33,0
8/22/2021 0:34,1
8/22/2021 0:35,0
8/22/2021 0:36,1
8/22/2021 0:37,0
8/22/2021 0:38,0
8/22/2021 0:39,0
8/22/2021 0:40,1
8/22/2021 0:41,0
8/22/2021 0:42,0
8/22/2021 0:43,0
8/22/2021 0:44,0
